content,content_clean,sentimen
"Tidak bisa membantu dan tidak ada solusi jika ada kendala . Chet hanya chet otomatis . Sudah di beri data lengkap . Jg ga ada jawaban .. ilang uang , jangan dowlod aplikasi dana",tidak bantu tidak solusi kendala chet chet otomatis data lengkap jg tidak ilang uang jangan dowlod,NEGATIVE
mantap pokoknya,mantap pokok,POSITIVE
"bagus ,semoga saja saya bertahan di aplikasi dana ini",bagus moga tahan,POSITIVE
Kenapa ga bisa masuk dana ya,tidak masuk,NEGATIVE
cepat dan aman,cepat aman,POSITIVE
"Susah masuk upgrade premium karena ktp bagian fotonya buram,,knapa dipersulit bangt siih",susah masuk upgrade premium ktp foto buram knapa sulit bangt siih,NEGATIVE
Aplikasi dana saya gk bisa di buka Mohon solusinya.tks,tidak buka mohon solusi tks,NEUTRAL
"Bantu buat log in, min Aplikasi di hape susah log in setelah download ulang. Terima kasih",bantu log in min hape susah log in download ulang terima kasih,POSITIVE
oke sangat membantu,oke bantu,POSITIVE
"Tolong lebih diperketat lagi terkait akun dana saya, barusan saya dapat telepon dari orang tak dikenal yang mengatas namakan DANA dengan menawarkan pemberian saldo Rp 1.000.000. namun ternyata saldo saya yang diambil dan kini sudah habis dicuri oleh pelaku. Tolong pihak dana menindaklanjuti kasus ini, karena ini menjadi bukti bahwa keamanan akun di aplikasi Dana ini mudah sekali disadap oknum tidak bertanggungjawab sehingga identitas pribadi saya bisa terbongkar.",tolong ketat kait akun barusan telepon orang tidak kenal atas nama tawar beri saldo rp saldo ambil habis curi laku tolong menindaklanjuti bukti aman akun mudah sadap oknum tidak bertanggungjawab identitas pribadi bongkar,NEGATIVE
"Udah di upgrade ke premium tak hapus malah GK bisa gagal upgrade ke premium , udah liat tutor di YouTube nunggu 3-5 hari 😭",upgrade premium tidak hapus tidak gagal upgrade premium liat tutor youtube nunggu,NEGATIVE
saya sudah 2x ini saldonya ke ambil sama pihak yg tidak bertanggung jawab,saldo ambil tidak tanggung,POSITIVE
Hm sampai saat ini bagus aplikasinya tapi ada yang kurang menyenangkan seperti mau membeli sesuatu saat di scan gk bisa bisa,hm bagus aplikasi kurang senang beli scan tidak,POSITIVE
Game apa nih gak bisa di download lawak banget,game tidak download lawak banget,NEGATIVE
sangat baik di pake kebutuhan.jaya terus Dana quu,pakai butuh jaya quu,POSITIVE
lumayan bagus.,lumayan bagus,POSITIVE
luarr biasa,luarr,NEGATIVE
Pengalaman yang baik,alam,POSITIVE
semoga tetap terbaik,moga baik,POSITIVE
Kenapa gak bisa dibukA,tidak buka,NEGATIVE
Saldo dana bisnis di proses terus!! Padahal sudah 24jam Saya sudah chat diana tetapi tidak di berikan solusi!!!,saldo bisnis proses jam chat ana tidak solusi,NEGATIVE
"Dana sekarang gimna nih,,masa iya verif scan wajah gk bisa mulu notifnya kurang pencahayaan lah atau apa lah perasaan scan wajah udh ditempat yang terang and as udh scan wajah gk bisa masuk ke akun dana nya... Tolong diperbaiki",gimna iya verif scan wajah tidak notifnya kurang cahaya asa scan wajah tempat terang and as scan wajah tidak masuk akun tolong baik,NEGATIVE
"lebih praktis,, tidak ribet,,dan terpercaya",praktis tidak ribet percaya,POSITIVE
mantap memudahkan kita untuk transaksi simpel,mantap mudah transaksi simpel,POSITIVE
puas dan memuaskan,puas muas,POSITIVE
Sumpah sih ini aplikasi dana kenapa dah saldo dana gw Udah 2 x ilang 😭 riwayatnya bertransaksi di google padahal ga sama sekali gw transaksi balikin woi saldo gw,sumpah dah saldo gw ilang riwayat transaksi google tidak gw transaksi balikin woi saldo gw,NEGATIVE
Tolong diupgrade biar lebih jelas,tolong diupgrade biar,NEGATIVE
Lumayan lah,lumayan,POSITIVE
sangat membantu terimakasih,bantu terimakasih,POSITIVE
saat ini sangat baguu membantu,baguu bantu,POSITIVE
"AKUNKU NGGA ADA ANGIN GA ADA HUJAN MAIN DI PROTECH AJA ,APLIKASI DANA MAKIN LAMA KAYA ANJINK BABI",akun ngga angin tidak hujan main protech kaya anjink babi,NEUTRAL
Tolong kenap pada saat mau login ke apk malah ngirim notif nya ke kotak masuk di akun dana sendiri padahal kan baru mau login Mana dana gw banyak lagi rugi besar nih,tolong kenap login ngirim notif kotak masuk akun login gw rugi,NEGATIVE
mudahan dana selalu di lindungi..agar tidak ada penipuan,mudah lindung tidak tipu,POSITIVE
"aplikasi, ini sayngat membantu saya, dan plikasi, ini sayngat bayik",sayngat bantu plikasi sayngat bayik,POSITIVE
potongan 500 dihapuskan,potong hapus,NEGATIVE
"knpa susah login nya, jringan bermasalah mulu padahal bgus' aja",knpa susah login jringan masalah bgus,NEGATIVE
"saya sangat2 kecewa dengan Dana , kartu isi saldo ada biaya admin nya , lebih bagus aplikasi astrapay , isi saldo tdk ada biaya admin nya",kecewa kartu isi saldo biaya admin bagus astrapay isi saldo tidak biaya admin,NEGATIVE
kok TDK bisa kirim y,tidak kirim,NEUTRAL
"bagus buat belanja sama kirim uang jd mudah,mantap.",bagus belanja kirim uang mudah mantap,POSITIVE
"Saldo saya kenapa tiba tiba kepotong?, padahal saya sedang offline trus ada transaksi google padahal itu bukan tolong refund yang saya",saldo potong offline trus transaksi google bukan tolong refund,NEGATIVE
Bos kenapa dana saya di terkuras oleh agen pulsa,bos kuras agen pulsa,NEGATIVE
"Untuk dana digital aplikasi yang 1 ini ngk usah di ragukan lagi lebih aman nyimpan uang di sini dari pada di bank ,tapi masalah top up game sering x gagal proses, saya bukan mengeluh,tapi tolong di update lagi masalah top up games nya karena cuma apk dana yang udh murah proses ngk ribet ,itu aja saran dari saya",digital ngk ragu aman nyimpan uang bank top up game gagal proses bukan keluh tolong update top up games murah proses ngk ribet saran,NEGATIVE
"lumayan respecnya,,oklh",lumayan respecnya oklh,NEGATIVE
"Untuk transaksi dll si mantap,tapi saat saya mempremiumkan akun dana saya,proses nya sangat lama,saya lelah menunggu,saya jadi tidak bisa bertransaksi lebih luas,karna di halangi oleh notifikasi premium.",transaksi dll si mantap premium akun proses lelah tunggu tidak transaksi luas halang notifikasi premium,NEGATIVE
mantap sangat cepat,mantap cepat,POSITIVE
Selalu dibebankan dgn tagihan cicilan yg mana sebenarnya sdh tdk lagi meminjam,beban dgn tagih cicil tidak pinjam,NEUTRAL
Ada dana cicil nya tapi gk ada limit nya sama aja boong lah.....,cicil tidak limit boong,NEGATIVE
Aplikasi abal2 padahal sudah saya masukkan password dan nomor hp dana nya di hp saya tapi katanya di Root Mending download Gopay atau OVO aja.,abal masuk password nomor hp hp root mending download gopay ovo,NEGATIVE
Halo pihak DANA! gimana cara upgrade dana premium tapi gak punya KTP? Saya masih SMP kelas 7 soalnya ^.^.,halo upgrade premium tidak ktp smp kelas,NEGATIVE
"Tiga dulu nih bintang nya...karena imail saya tidak bisa di setting ke profil dana kenapa...? tiga hari yang lalu setelah pemakaian aplikasi ini Akun tidak bisa digunakan.. setelah buat akun baru',,, Langsung ajib Keren... semoga aplikasi Dana ini berkah...dan menjadi alat media digital moderen ok terimakasih ..",bintang imail tidak setting profil pakai akun tidak akun langsung ajib keren moga berkah alat media digital moderen ok terimakasih,POSITIVE
"Aplikasi ga jelas , mau masuk akun aja di persulit , sudah live chat masih harus email",tidak masuk akun sulit live chat email,NEUTRAL
keren😈,keren,POSITIVE
Aplikasi DANA emang Oke 🤗,emang oke,NEUTRAL
Tolong dong biar gua bisa login ke akun dana gua,tolong biar login akun,NEGATIVE
Cs minta tolong penjelasan dana saya susah transaksi apakah penyebabnya dan lama juga saat membukanya,customer service tolong jelas susah transaksi sebab buka,NEUTRAL
"Saldo saya tiba"" hilang dan tidak ada pertanggung jawaban saya akan berhenti menggunakan dana",saldo hilang tidak tanggung henti,NEUTRAL
"Udah clear data dan tlv cs cuman ga ada solusi, bener"" apk anjik, saya 1 keluarga udah uinstal apk dana, mending aman pake OVO/GOPAY// DANA APLIKASI PENIPU,, aplikasi laknatuloh",clear data tlv customer service cuman tidak solusi bener anjik keluarga uinstal mending aman pakai ovo gopay tipu laknatuloh,NEGATIVE
ok bgt,ok banget,NEGATIVE
Gagal upgrade,gagal upgrade,NEGATIVE
Agak susah utk masuk di aplikasi,susah utk masuk,NEGATIVE
aplikasi yg mantap punya,mantap,POSITIVE
kerja baik,kerja,POSITIVE
Gak bisa di upgrade woy kek mana pula,tidak upgrade woy kek,POSITIVE
Oke👍,oke,NEGATIVE
Jangan lupa min folback,jangan lupa min folback,POSITIVE
"Aduh gimna ini ga tanggung jawab adminya, gua udh nunggu lama dari pagi sampe sekarang masih ga bisa bisa juga, udh tanya apa yang lu suruh tetep ga ada respon ama admin dananya",aduh gimna tidak tanggung adminya nunggu pagi sampe tidak suruh tetep tidak respon ama admin dana,NEGATIVE
pertahankan,tahan,POSITIVE
mantaffff,mantaffff,POSITIVE
"Bintang 1 karena akun dana saya tiba tiba log out sendri dan akun dana saya harus aktivasi di dalam aplikasi dana sedangkan saya tiba tiba log out dan tidak masuk ke dalam dana padahal pada bacaan di dana sama persis hp saya nomer saya sama persis tetapi kode tidak terkirim sehingga saya tidak bisa login,semoga dana mendengar atau melihat keluhan saya dan bisa memperbaikinya terimakasih",bintang akun log out sendri akun aktivasi log out tidak masuk baca persis hp nomer persis kode tidak kirim tidak login moga dengar keluh baik terimakasih,POSITIVE
Sangat kecewa saldo dana tiba tiba di potong sama google,kecewa saldo potong google,NEGATIVE
aplikasi keren,keren,POSITIVE
"Bagi yang mau install aplikasi dana mending gak usah sama sekali!!! Daripada nanti nyesel, awalnya ini aplikasi emang nyaman lama2 saldo raib ,BOHONG BESAR kalo aplikasi ini aman, ini adalah aplikasi TERKUTUK SIALAN!!! Jika saldo hilang dijamin saldo kembali 100% BOHONG ,SUPER PENIPU APLIKASI BABI NIH, nyatanya pihak dana tidak bertanggung jawab sama sekali, kita ngeluh malah di jawab sama robot, dah lah uninstall semua pengguna dana, daripada nanti jadi korban berikutnya.!!!",install mending tidak nyesel emang nyaman saldo raib bohong kalo aman kutuk sial saldo hilang jamin saldo bohong super tipu babi tidak tanggung ngeluh robot dah uninstall guna korban,NEGATIVE
"Saldo saya hilang tiba2 woy,,. Proses donk dan kembalikan",saldo hilang woy proses donk kembali,NEUTRAL
Meyenangkan,meyenangkan,POSITIVE
goooud,goooud,NEGATIVE
"aman dan praktis ,saya selalu menggunakan buat beli pulsa",aman praktis beli pulsa,POSITIVE
"Tolong kembali kan uang saya.itu potongan apa yg kalian lakukan... transaksi tanpa pemberitahuan, lenyap uang saya sore ini 490000..itu gaji saya... untuk makan saya sore ini...tolong kembalikan uang Saya baru saya perbaiki bintang nya",tolong uang potong laku transaksi pemberitahuan lenyap uang sore gaji makan sore tolong kembali uang baik bintang,NEGATIVE
Min Kalau bisa dana premiumnya bisa pakai kk juga soalnya saya masih 16 thn 😁,min premium pakai kk thn,NEUTRAL
"Tolong dong secepat diperbaiki eror Mulu perasaan dari dulu , gaada niatan gitu buat di perbaiki?",tolong cepat baik error asa gaada niat gitu baik,NEGATIVE
bagus mantap,bagus mantap,POSITIVE
"Saya kasih bintang satu aja, tgl 09/02/2024 saya melakukan pengisan dana lewat internet banking BCA jam 00.33.04 sampai sekarang tgl 13/02/2024 dana saya belum masuk. Tolong pihak dana bagaimana ini",kasih bintang tgl pengisan internet banking bca jam tgl belum masuk tolong,NEUTRAL
"Dana Gk Jelas, Gw Baru Aja Buka, Eh Tiba Tiba suruh login Mana Pake Sms Lagi. Kemarin gw Wa Bisa Gimana Sih",tidak gw buka eh suruh login pakai sms kemarin gw wa,NEGATIVE
bagus.. terus pertahankan aplikasinya 👍🏻,bagus tahan aplikasi,POSITIVE
Sangat cepat proses nya,cepat proses,POSITIVE
mudah dan murah,mudah murah,POSITIVE
Yasinh Muhamnad,yasinh muhamnad,NEUTRAL
Lagi eror caranya gimn,error gimn,NEGATIVE
"Ini kenapa saya top up dana gk masuk masuk eror mulu,mending pindah aja gk nyaman banget.",top up tidak masuk masuk error mending pindah tidak nyaman banget,NEGATIVE
"lengkap, mudah, mantap",lengkap mudah mantap,POSITIVE
bagus bngt,bagus bngt,POSITIVE
Kagak bisa dibuka?,tidak buka,NEGATIVE
"Apk nya bagus kak tapi minta tolong dong ,, ini mau saya premium kan kok ada tulisan "" kami masih memproses data premium anda "" tolong kasih solusi nya",bagus tolong premium tulis proses data premium tolong kasih solusi,NEGATIVE
Saya tidak bisa login ke dana karna harus ada notifikasi dari nomer tersebut...sedangkan nomer ter sebut udah aktif atau ilang...gimana cara login ke dalam dana..Tampa notifikasi,tidak login notifikasi nomer nomer ter aktif ilang login tampa notifikasi,NEUTRAL
"Duit gw nyangkut ga ada penyelesaian, smapah emng ni e wallet",uang gw nyangkut tidak selesai smapah emng ni wallet,NEUTRAL
Hati2 pake dana jangan di donlowad Q yg sudah pake dana lama saja ...baru isi dana ... Uang langsung hilang tanpa jejak .....tanpa histori pengiriman pemasukan ....,hati pakai jangan donlowad pakai isi uang langsung hilang jejak histori kirim pasu,NEGATIVE
"SEKEDAR INFO! Kalau kalian sekali aja buka app Dana dan minta login ulang (memasukkan nomor HP kembali), cepat login dan segera gant PIN kalian. Karena itu petanda akun kalian sudah di masuki pengguna lain (Hacker). Saya sudah pernah kejadian, PIN ga pernah ganti selama dari mulai tahun 2019 (awal buat app Dana). Dan alhasil akun saya berhasil di bobok oleh orang lain, uang saya habis 1jt hilang begitu aja di TF ke rekening bank orang tidak bertanggung jawab.",dar info buka login ulang masuk nomor hp cepat login gant pin tanda akun masuk guna hacker jadi pin tidak ganti alhasil akun hasil bobok orang uang habis jt hilang transfer rekening bank orang tidak tanggung,NEGATIVE
seadax bank dana makin praktis.sukses terus smoga kru sehat selalu lacar rejekix aminn,seadax bank praktis sukses smoga kru sehat lacar rejekix aminn,POSITIVE
Upgrade dana premium selalu gagal Saldo malah hilang ..kata nya dana aman ternyata tidak,upgrade premium gagal saldo hilang aman tidak,NEGATIVE
"saya transfer dengan nominal kecil 180rb masuk ke shopee, tapi yang kedua saya transfer dengan nominal 1.6jt GAMASUK! tolonglah dana, saya hanya orang kecillll yang ga punya apa apa, nominal nya bagi saya terlalu besar, tolong balikin lah minimal atau tolong tf ke akun shopeee saya.",transfer nominal rb masuk shopee transfer nominal jt gamasuk tolong orang kecillll tidak nominal tolong balikin minimal tolong transfer akun shopeee,NEGATIVE
terbantu sekali dengan aplikasi DANA,bantu,POSITIVE
"setelah di hapus, tidak bisa login apk dana gmna solusiny",hapus tidak login solusiny,NEUTRAL
kerwn,kerwn,POSITIVE
bagus cpet,bagus cpet,POSITIVE
"Gajelas daftar premium, nik padahal udah sesuai sama yang diKTP tapi masih salah",tidak daftar premium nik sesuai diktp salah,NEGATIVE
berguna dan sangat membantu tapi semakin kesini semakin lambat,guna bantu kesini lambat,POSITIVE
Susah.. Sistem sering susah lah apalah gangguan lah sibuklah.. Mau transaksi selalu terkendala. Saldo tiba2 hilang. Gak jelas skrg pokoknya.. Maksutnya tidak ada koneksi internet apa. Padahal 4G full. Gk ada trobel.. Alasan aja ya?,susah sistem susah apa ganggu sibuk transaksi kendala saldo hilang tidak skrg pokok maksutnya tidak koneksi internet full tidak trobel alas,NEGATIVE
mantap..sangat membantu,mantap bantu,POSITIVE
Kenpa kak..kok login susah,kenpa login susah,NEGATIVE
"Mohon bantuannya pak akun dana sya KA bajak . Gara"" tdi ada yang nelepon mengaku dari pihak dana",mohon bantu akun sya ka bajak gara tdi nelepon aku,NEUTRAL
Tolong benerin ngeleg mulu lama,tolong benerin ngeleg,NEGATIVE
Oke Ok,oke ok,NEGATIVE
"Woii balikin duit gue 500k, masa tibatiba ada transaksi ngirim duit ke rek BRI ATAS NAMA MOHAMAD FERI IRAWAN",woii balikin uang tibatiba transaksi ngirim uang rek bri nama mohamad feri irawan,NEGATIVE
aplikasinya cukup bagus hanya saja di saat castamers ingin login di aplikasi no Dana yg tercanrum hilang malah di kirim kode otp. tolong di perbaiki paduan pada pengguna aplikasi ini terima kasih.,aplikasi bagus castamers login no tercanrum hilang kirim kode otp tolong baik padu guna terima kasih,NEGATIVE
amazing,amazing,POSITIVE
luwar biasa,luwar,NEGATIVE
sedang ingin mencoba apknya.mudah-mudahan bisa memudahkan saya,coba apknya mudah mudah mudah,POSITIVE
"Aplikasi tolol, uang bisa di bobol, gausah di download !!!!",tolol uang bobol gausah download,NEGATIVE
BagusMbatu Ay,bagusmbatu ay,POSITIVE
"Uangku 250k hilang sia"" Bagaimana ini dengan dana, apakah ini disebut aman ha?, menurut kami 250k sangat berharga",uang hilang sia aman ha harga,POSITIVE
knp tidak bisa trasaksi mengirim.,knp tidak trasaksi kirim,NEGATIVE
"hati"" pake apk ini banyak yang kejadian saldo ilang, aku juga salah satu korbanya sampai sekarang kagak balik saldoku trsebut",hati pakai jadi saldo ilang salah korbanya tidak saldo trsebut,NEGATIVE
Makyus,makyus,NEGATIVE
sangat terbantu dengan 10 kali transfer gratis setiap Bulan 👍👍,bantu kali transfer gratis,POSITIVE
jozz DANA,jozz,NEUTRAL
Tidak bagus memverifikasi lambat padahal bacaannya 1x24 jam tapi sampai 2 hari lebih gak selesai juga mending pake gopay,tidak bagus verifikasi lambat baca jam tidak selesai mending pakai gopay,NEGATIVE
Nyoba dulu ?,nyoba,NEGATIVE
"ribet kirim duit kudu verif ktp, mana 1 akun cuma bisa 1 ktp, kalau salah topup, duitnya nyangkut gabisa kemana mana",ribet kirim uang kudu verif ktp akun ktp salah topup duit nyangkut tidak mana,NEGATIVE
Agak kecewa karena penarikan dana bisnis gangguan truss mohon kepada pihak dana di tindak lanjutin 🙏🙏🙏,kecewa tari bisnis ganggu truss mohon tindak lanjutin,NEGATIVE
Dapat Transaksi tidak sah. Tapi setelah di minta pengembalian saldo malah ga dikembalikan. Anj SAMPAH!!!!,transaksi tidak sah kembali saldo tidak kembali anj sampah,NEGATIVE
agar lebih luas lagi,luas,POSITIVE
Mudah digunakan,mudah,POSITIVE
dengan Dana semua jadi mudah,mudah,POSITIVE
Yah Kak gimana ini dana 1 KTP cuman bisa dibuat 1akun dana premium doang mana HP saya hilang kena copet pas dipasar pas saya login ke akun dana yg hilang hpnya harus masukin otp bikin akun lagi gk bisa pake KTP yg udah didaftarin coba aja kaya gopay bisa bikin beberapa akun meskipun pakai KTP yg sama,yah ktp cuman akun premium doang hp hilang kena copet pas pasar pas login akun hilang hpnya masukin otp bikin akun tidak pakai ktp didaftarin coba kaya gopay bikin akun pakai ktp,NEGATIVE
